DGUNR,XUTM,YUTM,Top,Bottom,RedoxNumber,Texture
88. 1001,550867,6219647,0,2,-1,3
88. 1001,550867,6219647,2,4.5,-2,4
88. 1001,550867,6219647,4.5,8.5,-1,3
88. 1001,550867,6219647,8.5,15.7,1,3
88. 1001,550867,6219647,15.7,16,-2,5
88. 1001,550867,6219647,16,17,1,3
88. 1002,552555,6220604,0,2,2,5
,,,2,6,-2,5
,,,6,9,-2,5
,,,9,14,-2,5
,,,14,21,1,3
,,,21,24,-1,3
,,,24,24.5,1,5
,,,24.5,28,-1,3
,,,28,34,-1,3
,,,34,35,1,3
88. 1022,549668,6220762,0,0.25,-999,8
,,,0.25,4.7,-999,5
,,,4.7,5.9,-999,5
,,,5.9,12.7,-999,3
,,,12.7,13.8,-999,1
,,,13.8,19.4,-999,3
,,,19.4,21.6,-999,5
,,,21.6,42.55,-999,3
,,,42.55,43.65,-999,5
,,,43.65,48.8,-999,3
,,,48.8,58.5,-999,3
88. 1096,550898,6220225,0,6.5,2,5
,,,6.5,9.5,2,2
,,,9.5,15,1,3
,,,15,20.5,1,3
,,,20.5,23,-2,5
,,,23,29,1,1
,,,29,34,1,3
,,,34,38,-2,5
,,,38,42,1,3
,,,42,45,-2,5
,,,45,49,1,2
,,,49,50,-2,5
88. 1104,548143,6220355,0,0.25,-999,8
,,,0.25,1,2,5
,,,1,15.5,-2,5
,,,15.5,18,-999,1
,,,18,26,2,3
,,,26,30,-2,5
,,,30,35,-999,3
,,,35,36,-2,9
,,,36,38,-1,3
,,,38,57.5,-2,3
,,,57.5,60,-2,5
88. 1105,550422,6221347,no data,,-999,-9999
88. 1121,551378,6221573,0,6,2,5
,,,6,27,1,5
,,,27,48,-2,5
,,,48,56,-2,3
88. 1304,552774,6220198,0,0.3,-999,6
88. 1305,552729,6220273,0,0.9,1,5
,,,0.9,1.1,-2,8
,,,1.1,1.6,-2,7
,,,1.6,2,-2,5
,,,2,3.2,-2,1
,,,3.2,4,-2,4
,,,4,4.4,1,3
,,,4.4,5,-2,5
88. 1318,550498,6219628,no color data,,-999,-9999
88. 1319,550534,6219581,no data,,-999,-9999
88. 1374,553719,6221603,no data,,-999,-9999
88. 1395,551053,6221091,0,1,2,5
,,,1,2,2,0
,,,2,3,2,3
,,,3,4,2,3
,,,4,5,1,5
,,,5,6,1,5
,,,6,10,-2,5
,,,10,11,-2,5
,,,11,12,-2,5
,,,12,13,-2,5
,,,13,14,-2,5
,,,14,15,1,5
,,,15,16,1,5
,,,16,17,2,5
,,,17,18,1,3
,,,18,19,-1,5
,,,19,25,2,3
,,,25,26,-2,3
,,,26,27,-2,3
,,,27,32,-2,3
,,,32,33,-2,5
,,,33,34,-2,5
,,,34,35,-2,5
,,,35,39,-2,3
,,,39,40,-2,5
,,,40,65,-2,5
,,,65,66,-2,3
,,,66,69,-2,5
,,,69,74,-2,5
,,,74,84,-2,5
,,,84,85,-2,5
,,,85,88,-2,5
88. 1456,548470,6220089,no data,,-999,-9999
88. 1458,549088,6220730,no data,,-999,-9999
88. 1472,550976,6220449,no data,,-999,-9999
88. 1479,554109,6221425,no data,,-999,-9999
88. 1512,552164,6219721,no data,,-999,-9999
88. 1565,553507,6220872,no data,,-999,-9999
88. 1604,551650,6220745,no data,,-999,-9999
88. 1766,550432,6221354,no data,,-999,-9999
88. 189,551596,6221059,0,14,2,5
,,,14,21.5,-2,5
,,,21.5,22,-999,3
,,,22,35,2,3
,,,35,44,-2,3
,,,44,49.5,-2,5
,,,49.5,50,-999,1
,,,50,57,-2,3
,,,57,72,-2,-9999
88. 554,549712,6219817,0,6,-2,-9999
,,,6,8,-1,3
,,,8,19,2,3
,,,19,40,-2,3
,,,40,42,-2,5
,,,42,50,-2,3
,,,42,50,-2,3
88. 557,549469,6220249,no data,,-999,-9999
88. 583,550875,6218471,no color data,,-999,-9999
88. 659,548751,6220558,0,4.5,-1,5
,,,4.5,12,-2,5
,,,12,44,2,2
,,,44,48,-2,5
,,,48,57,-1,3
88. 713,548961,6220696,0,3,-999,-9999
,,,3,13,-2,5
,,,13,16.5,2,3
,,,16.5,41,1,3
,,,41,49,-2,5
,,,49,51,-1,3
,,,51,54,-2,3
88. 719,548221,6220794,0,4,2,3
,,,4,14,-2,5
,,,14,55.5,-2,3
,,,55.5,66.5,-2,3
88. 742,550860,6218489,0,12.7,-999,1
,,,12.7,13,-999,4
,,,13,16.1,-999,3
,,,16.1,16.7,-999,5
,,,16.7,22.8,-999,3
,,,22.8,24.4,-999,3
,,,24.4,25.3,-999,4
88. 771,549656,6221856,0,11,-2,5
,,,11,25,-999,5
,,,25,40,-2,5
,,,40,50,-2,5
,,,50,56,-2,5
,,,56,59,-999,3
,,,59,61,-1,3
88. 774,552689,6220116,0,3,-999,-9999
,,,3,14,-999,-9999
,,,14,22,-999,3
88. 777,552586,6220619,0,15,-999,5
,,,15,26,-999,3
88. 783,550264,6219351,0,25,-999,-9999
,,,25,31,-999,5
,,,31,33.5,-999,3
88. 860,551382,6221565,0,8,2,5
,,,8,10,-2,3
,,,10,52,-999,5
88. 885,552864,6220945,0,0.5,-999,8
,,,0.5,8,-999,3
,,,8,29,-999,3
,,,29,34,-999,3
,,,34,38,-999,5
88. 907,549118,6220108,0,4,2,5
,,,4,6,1,5
,,,6,10,1,0
,,,10,17,1,3
,,,17,19,1,5
,,,19,21,-2,5
,,,21,25,1,3
,,,25,28,2,5
,,,28,48,-1,3
,,,48,53,-1,3
,,,53,55,1,3
88. 917,552580,6220624,0,1.5,1,5
,,,1.5,16,1,5
,,,16,26.7,1,5
,,,26.7,37.5,1,3
88. 940,549330,6220239,0,5,1,5
,,,5,6,-2,5
,,,6,7.5,-2,5
,,,7.5,15,2,3
,,,15,17,2,3
,,,17,22,2,3
,,,22,32.5,-1,3
,,,32.5,33.5,2,5
,,,33.5,39,-2,4
,,,39,44,-2,3
,,,44,46,-2,5
,,,46,49,2,3
,,,49,52.5,2,3
,,,52.5,53,-2,5
88. 942,549678,6219783,0,0.5,-999,8
,,,0.5,6,2,5
,,,6,10,-1,3
,,,10,16,1,4
,,,16,36,-2,3
,,,36,39,1,3
,,,39,41,-2,4
,,,41,43,-2,3
,,,43,48,1,3
88. 998,552681,6220111,0,2,1,3
,,,2,5,1,5
,,,5,7.5,-2,4
,,,7.5,14,1,3
,,,14,20,1,3
,,,20,29,-2,5
,,,29,32,-2,3
87. 1027,547429,6222262,0,5,2,5
,,,5,10,-2,5
,,,10,14.5,-2,5
,,,14.5,20,-1,3
,,,20,25.5,-1,2
,,,25.5,33,-2,4
,,,33,38,1,3
,,,38,44,1,3
,,,44,48,-2,5
,,,48,51,-2,4
,,,51,56,-2,5
,,,56,62,-2,5
,,,62,68,1,3
,,,68,72,1,3
,,,72,74,-2,4
87. 1068,547823,6222886,0,0.5,-2,8
,,,0.5,1.9,1,5
,,,1.9,2.5,1,3
,,,2.5,3.3,1,3
,,,3.3,4.5,2,3
,,,4.5,5.9,2,3
,,,5.9,7,2,3
,,,7,7.2,2,3
,,,7.2,8.5,2,3
,,,8.5,9.2,2,3
,,,9.2,10.4,2,3
,,,10.4,10.8,2,3
,,,10.8,11.7,1,3
87. 1090,546815,6217954,no data,,-999,-9999
87. 1181,547437,6222248,0,5,-1,5
,,,5,18.6,-2,5
,,,18.6,21.4,-1,2
,,,21.4,38.8,-1,3
,,,38.8,45.85,-2,5
,,,45.85,47.2,-999,9
,,,47.2,55.35,-2,3
,,,55.35,64,-2,3
87. 1192,547221,6221163,0,1,-999,8
,,,1,3,-999,3
,,,3,11,2,3
,,,11,22,2,3
,,,22,25.5,2,3
,,,25.5,32.5,2,3
,,,32.5,39.5,-2,3
,,,39.5,47,-2,5
,,,47,51,-2,5
,,,51,60,-2,3
,,,60,70,-2,3
,,,70,76.5,-2,5
,,,76.5,90,-2,3
,,,90,90.2,-999,-9999
87. 1288,546774,6221256,0,1,2,5
,,,1,2,2,5
,,,2,3,1,5
,,,3,4,1,5
,,,4,5,-2,5
,,,5,6,-2,5
,,,6,7,-2,5
,,,7,8,-2,5
,,,8,9,-2,5
,,,9,10,-2,5
,,,10,11,-2,5
,,,11,12,-2,5
,,,12,13,-2,5
,,,13,14,-2,5
,,,14,15,-2,5
,,,15,16,2,3
,,,16,17,2,3
,,,17,18,2,3
,,,18,19,-1,3
,,,19,20,-2,3
,,,20,21,-1,3
,,,21,22,-2,3
,,,22,23,-2,3
,,,23,24,-2,3
,,,24,25,-2,3
,,,25,26,-2,3
,,,26,27,-2,3
,,,27,28,-1,3
,,,28,29,-1,3
,,,29,30,-1,3
,,,30,31,-1,3
,,,31,32,2,3
,,,32,33,2,3
,,,33,34,-2,5
,,,34,35,-2,5
,,,35,36,2,3
,,,36,37,2,3
,,,37,38,2,3
,,,38,39,2,3
,,,39,40,2,3
,,,40,41,2,3
,,,41,42,2,3
,,,42,43,-1,3
,,,43,44,-1,3
,,,44,45,-1,3
,,,45,46,2,3
,,,46,47,-1,3
,,,47,48,-1,3
,,,48,49,-1,3
,,,49,50,-1,3
,,,50,51,2,3
,,,51,52,2,3
,,,52,53,-2,5
,,,53,54,-2,1
,,,54,55,-2,5
,,,55,56,1,3
,,,56,57,1,3
,,,57,58,1,3
,,,58,59,-2,5
,,,59,60,-2,3
,,,60,61,-2,3
,,,61,62,-2,3
,,,62,63,1,3
,,,63,64,1,3
,,,64,65,1,3
,,,65,66,-2,3
,,,66,67,-2,3
,,,67,68,-2,3
,,,68,69,-2,3
,,,69,70,-2,3
,,,70,71,-2,3
,,,71,72,-2,3
,,,72,73,-2,3
,,,73,74,-2,3
,,,74,75,1,3
,,,75,76,1,3
,,,76,77,-2,3
,,,77,78,-2,3
,,,78,79,-2,5
,,,79,80,-2,5
,,,80,81,-2,5
,,,81,82,-2,5
,,,82,83,-2,5
,,,83,84,-2,5
,,,84,85,-2,5
,,,85,86,-2,5
,,,86,87,-2,5
,,,87,88,-2,5
,,,88,89,-2,3
,,,89,90,-2,5
,,,90,91,-2,5
,,,91,92,-2,3
,,,92,93,-2,3
,,,93,94,-2,3
,,,94,95,-2,3
,,,95,96,-2,3
,,,96,97,-2,3
,,,97,98,-2,5
,,,98,99,-2,5
,,,99,100,-2,5
,,,100,101,-2,5
,,,101,102,-2,5
,,,102,103,-2,5
,,,103,104,-2,5
,,,104,105,-2,3
,,,105,106,-2,5
,,,106,107,-2,5
,,,107,108,-2,5
,,,108,109,-2,5
,,,109,110,-2,5
,,,110,111,-2,5
,,,111,112,-2,5
,,,112,113,-2,5
,,,113,114,-2,5
,,,114,115,-2,5
,,,115,116,-2,5
,,,116,117,-2,5
,,,117,118,-2,5
,,,118,119,-2,5
,,,119,120,-2,5
,,,120,121,-2,5
,,,121,122,-2,5
,,,122,123,-2,5
,,,123,124,-2,5
,,,124,125,-2,5
87. 1355,546838,6217994,no data,,-999,-9999
87. 1356,546833,6217997,no data,,-999,-9999
87. 1357,546828,6218001,no data,,-999,-9999
87. 1358,546824,6217997,no data,,-999,-9999
87. 1359,546819,6217993,no data,,-999,-9999
87. 136,546823,6217993,no data,,-999,-9999
87. 1361,546826,6217992,no data,,-999,-9999
87. 1362,546834,6217996,no data,,-999,-9999
87. 1423,546693,6222924,don't understand,,-999,-9999
87. 1517,547740,6219155,no data,,-999,-9999
87. 269,547089,6221425,0,7,1,5
,,,7,31.4,-2,3
,,,31.4,33.2,-2,5
,,,33.2,57,-2,3
,,,57,71,-2,3
,,,71,75,-1,3
87. 298,547360,6218778,0,3.5,-2,5
,,,3.5,10,-2,-9999
,,,10,40,-1,3
,,,40,42,1,3
87. 510,547483,6221503,0,11,2,4
,,,11,33.7,-1,1
,,,33.7,37,-2,5
,,,37,42.4,-2,-9999
,,,42.4,54.3,-2,-9999
,,,54.3,59,-2,-9999
,,,59,60,-2,-9999
87. 66,547789,6221973,0,5,2,5
,,,5,22,-2,5
,,,22,34,-999,3
,,,34,45,-999,3
,,,45,74,-2,3
87. 692,547195,6221170,0,24,-999,3
,,,24,25,-999,5
,,,24,42,-999,3
,,,42,43,2,5
,,,43,46,-2,5
,,,46,46.5,-999,-9999
,,,46.5,49,-999,-9999
,,,19,58,-999,3
,,,58,60,-999,5
,,,60,66,-999,3
,,,66,76.5,-999,5
,,,76.5,85,-999,3
,,,85,,-999,5
87. 862,547636,6218964,0,0.3,-999,8
,,,0.3,6,2,5
,,,6,38,2,3
,,,38,39.5,1,3
,,,39.5,41,2,3
,,,41,43,-2,4
,,,43,44,1,3
,,,44,45.5,-2,5
,,,45.5,48,2,5
,,,48,53.5,-1,3
,,,53.5,56.5,-1,3
,,,56.5,57.5,-2,3
,,,57.5,68,-2,5
,,,68,68.5,1,3
,,,68.5,71,-2,4
,,,71,72,-2,3
,,,72,79,1,3
,,,79,81,1,3
88. 1006,550215,6218452,0,3,-999,-9999
,,,3,9.5,-2,3
,,,9.5,,-2,5
88. 1007,549660,6217899,0,0.5,2,8
,,,0.5,7,-1,3
,,,7,8,1,4
,,,8,15.5,-2,3
88. 1041,550247,6218470,0,5.2,2,3
,,,5.2,11.1,2,3
,,,11.1,14.6,-999,3
,,,14.6,19.4,1,3
,,,19.4,25,1,3
,,,25,31,-999,3
,,,31,34.7,1,3
,,,34.7,37,1,3
,,,37,40.2,-2,4
,,,40.2,42.7,1,3
,,,42.7,47.5,-2,4
,,,47.5,51.1,-2,4
,,,51.1,55,1,3
,,,55,58,-2,4
,,,58,65,-2,5
,,,65,70,-2,5
,,,70,72.1,-2,5
,,,72.1,73.4,1,5
,,,73.4,78,-2,5
,,,78,83,1,5
,,,83,88,1,5
,,,88,90,1,5
88. 1053,548924,6218576,0,1,-999,3
,,,1,3,-999,3
,,,3,4,-999,3
,,,4,5,-999,3
,,,5,6,-999,3
,,,6,7,-999,3
,,,7,14,-999,3
,,,14,15,-999,3
,,,15,20,-999,3
,,,20,21,-999,3
,,,21,25,-999,3
,,,25,26,-999,3
,,,26,27,-999,3
,,,27,35,-999,3
,,,35,37,-999,5
88. 1089,548339,6222918,0,0.4,-2,8
,,,0.4,0.9,2,3
,,,0.9,2.1,2,2
,,,2.1,2.6,2,5
,,,2.6,3.1,2,5
,,,3.1,3.6,2,3
,,,3.6,4.1,2,3
,,,4.1,4.75,2,3
,,,4.75,5.1,2,5
,,,5.1,5.6,2,5
,,,5.6,6.1,2,3
,,,6.1,6.5,2,3
,,,6.5,6.7,2,4
,,,6.7,7.1,2,3
,,,7.1,8,2,3
88. 1092,548930,6222721,0,0.9,-2,8
,,,0.9,1.2,-2,8
,,,1.2,2,2,3
,,,2,2.7,2,3
,,,2.7,4.2,2,3
,,,4.2,5.25,2,3
